NAME,STATE,Households,Avg household size,High school or more attained,Bachelors or higher,Veterans,Same house 1 year and over,Foreign born persons,Language other than english spoken at home,Mean travel time to work,Median household income,Per capita income,Percentage of individuals below the poverty level,Number of housing units,Number of two-unit structures,Number of three or four unit structures,Number of 5-9 unit structures,Number of 10-19 unit structures,Number of 20+ unit structures,Number of owner-occupied units,Median value of owner-occupied units,Total Population,Female persons,Persons under 5 years,Persons under 18 years,Persons over 65,White only,Black or African american only,Alaskan native or American Indian only,Asian only,Native Hawaiian or Pacific Islander,Two or more races,Hispanic or Latino,White alone not hispanic or latino,ESTAB,EMP,NESTAB,All Firms,Black Owned Firms,American Indian and Alaskan Native Owned Firms,Asian Owned Firms,Native Hawaiian or Pacific Islander Owned Firms,Hispanic Owned Firms,Women Owned Firms,Retail Sales,Accommodation and Food Sales,Population Density
Kodiak Island Borough,Alaska,4415,2.87,91.2,28.5,14.3,86.9,19.3,28.8,11.9,91138,39563,8,5798,8.3,6.5,2,3.9,6.1,56.6,355000,13065,46.5,6.3,24,12.3,50.6,0.9,11.4,22.7,0,13.7,5.2,5.6,457,4854,1434,429,0,0,0,0,0,62,125363,34484,1.964820172
Lake and Peninsula Borough,Alaska,326,2.64,90.8,15.5,5.7,89,6.5,15.2,7.2,61607,39409,15.2,1380,2.4,3.3,0.2,0.1,0,67.2,167000,999,49.1,8.2,25.5,9.2,17.1,2.2,61.8,3.5,0,15.4,0,0,53,362,220,58,0,0,0,0,0,0,0,12595,0.066597716
Matanuska-Susitna Borough,Alaska,39290,2.7,94.2,23.7,13.8,86,3.5,6.2,35.3,86435,39201,10.2,50491,3.6,4,2.4,1.1,1.1,76.5,296900,108661,47.7,6.5,26.1,12.9,79.2,1.3,6.2,1.8,0.4,9.8,3.6,1.9,2609,21510,8409,4481.5,82.5,0,0,0,187.5,1178.5,1255522,215366,4.382798914
Nome Census Area,Alaska,2786,3.35,88.2,18.3,5.5,87.5,1.6,26,5.8,70121,28678,21.1,4116,4.7,4.3,2.7,1.6,1.6,62.6,181300,10018,47.7,9,34,7.5,14.2,1,76,1.3,0,7.2,0.7,0.5,174,2058,480,84,0,0,0,0,0,0,83219,16333,0.435524236
North Slope Borough,Alaska,2168,3.26,90.7,14.2,5.7,86.4,7.5,37.4,8.1,83472,61841,7.9,2625,5.3,4.9,4.2,7.7,4.4,46.7,193800,10924,38.1,5.6,22.8,7.6,31.8,1.8,50.2,5.8,1.9,7.3,2.2,2.2,146,4719,221,87,0,0,0,0,0,0,85180,115623,0.11069025
Northwest Arctic Borough,Alaska,1776,4.04,86.1,15.2,5.4,89.4,1.9,29.3,6.5,77647,32133,18.5,2726,2.6,5.9,5.2,1.4,3.3,61,147200,7682,46.6,10.4,36.2,7.9,10.6,1.2,80.7,1.3,0.3,5.6,0.8,0.3,68,1628,212,81,0,0,0,0,0,0,46600,0,0.213689119
Prince of Wales-Hyder Census Area,Alaska,2334,2.43,92.5,19.4,8.3,87.7,3.3,5.2,13.2,61779,34433,15.3,3252,4.3,2.3,2,2.5,0.9,72.6,220800,5799,44.4,4.9,21.5,19.3,45.1,0.4,38.5,1.4,0.8,13.5,2,1.6,172,990,575,135,0,0,0,0,0,21,54951,14127,1.17843333
Sitka City and Borough,Alaska,3459,2.36,95.2,34.2,8.3,79.4,10.1,14.9,11.4,95261,43964,6.9,4138,15.5,7.7,4.9,2,4,64.5,424700,8462,47.8,4.7,20.2,16.2,62.3,0.7,9.4,7.9,1.2,17.5,5,1.6,385,2712,1247,291,0,0,0,0,0,38,107200,43963,2.959217661
Skagway Municipality,Alaska,410,2.62,92.7,27.8,4.5,81.5,8.1,10.9,5.9,79583,46771,6.2,631,11.4,9,3.6,1,0.2,65.6,434300,1303,58.8,6.1,15.9,13.8,78.1,3.1,4.9,2.2,0,11.7,1.2,1,98,284,130,120,0,0,0,0,0,0,42964,16239,2.726227665
Southeast Fairbanks Census Area,Alaska,2189,2.95,93.7,19.8,14.7,80.4,8.7,15.5,15.5,75378,33809,13.2,3537,0.8,2.7,1.3,2,0.7,75,222200,6888,43.2,7,26.8,14.2,75,0.9,12.8,3.1,0.2,5.4,3.9,1.3,165,1525,527,162,0,0,0,0,0,0,67564,14312,0.277688418
Wrangell City and Borough,Alaska,928,2.24,87.1,18,14.7,90.4,3.7,4.6,6.8,61000,35421,10.1,1350,4.5,4.7,9.3,0.8,0.9,65.2,273800,2134,46.8,6.4,22.1,27,57,0,22.9,0.8,2.2,16.1,3.6,2.1,98,583,314,95,0,0,0,0,0,0,23387,3546,0.97887506
Yakutat City and Borough,Alaska,231,2.07,94,10.8,17.6,84.6,17.2,20.3,5,76875,45578,10,420,10,1.2,2.9,1,0,55.8,152100,564,37.6,7.6,18.6,24.6,30.7,2.1,26.1,20.2,2.1,17.4,2.3,0,30,143,117,29,0,0,0,0,0,0,5067,3332,0.075951576
Yukon-Koyukuk Census Area,Alaska,2078,2.36,87,14.1,10.9,86.7,2.1,12.7,8.7,47826,29382,22.9,4018,0.7,0.5,0.5,0.4,0.2,72.4,86600,5355,46.9,7.3,27.2,16.2,23.1,0.2,67.4,1.3,0.1,7.4,0.8,0.6,95,297,340,70,0,0,0,0,0,0,27831,0,0.035926371
Apache County,Arizona,19786,3.26,84,13.8,5.7,95.3,1.6,54.8,28.1,37483,18930,32.5,29032,2.3,2.1,1.3,0.3,0.3,80,62400,66054,50.3,6.2,26.5,15.8,20.5,0.9,72.9,0.6,0.1,3.7,3.6,1.5,445,5886,2566,324,0,29,0,0,0,55,280498,53725,6.41977244
Cochise County,Arizona,49680,2.41,88.9,26.7,18.4,86.6,10.8,27.2,21.7,58421,31423,14.7,59056,0.6,2,2.4,3.5,2.9,70.2,183000,125504,48.8,5.4,21.1,23.2,71.4,4,0.9,1.9,0.3,17.1,17.4,2.9,2112,25143,7401,1658,0,0,44,0,0,0,1324442,183747,20.27811514
Coconino County,Arizona,51993,2.54,91.5,39.6,6.3,79.1,5.1,23.4,19.2,67266,32592,16.9,69233,3.6,3.4,5.5,4.7,5,59.1,379400,144705,50.4,4.9,19.9,13.4,58.6,1.5,25.3,1.9,0.2,7.3,8.8,3.6,3836,51131,10182,3138,0,0,0,0,0,0,2197125,1200030,7.706809246
Gila County,Arizona,22714,2.3,87.1,18.1,11.9,83.2,3.1,15.4,22.2,55242,29945,19,32519,0.6,1.9,1.8,0.4,0.8,75.6,222500,53419,50,4.7,19.4,29.6,69.3,0.7,15.8,0.7,0,9.6,10.1,2.5,1039,10761,3684,866,0,0,0,0,32,0,553038,124889,11.35309892
Graham County,Arizona,12018,2.93,84.6,14,6,81.8,2.5,20.7,23.1,64089,24052,17.7,13755,1.7,1.3,1.5,0.8,2.1,73.4,178300,38453,46.6,6.6,26.3,14,68.5,2,12,0.7,0.1,12.5,14.6,2.3,542,9118,1857,507,0,0,0,0,54,47,408423,40380,8.402863168
Greenlee County,Arizona,3304,2.84,85.9,16.7,6.8,83.1,4,20.4,18.2,73756,29394,12.8,4409,0,2,2.8,1.1,1.7,56.2,93900,9483,47,7.3,27.3,13.7,75.5,1.8,3.4,0.7,0,15.5,17.3,1.8,84,4157,274,61,0,0,0,0,0,0,64105,11922,5.15595627
La Paz County,Arizona,8911,1.85,82.6,12.4,15.8,88.8,12,22.1,13.6,46634,30399,21,13692,1.3,2.4,0.6,0.3,0.2,68.4,117500,16681,48.3,4.4,16.2,40.5,63.5,0.6,15.1,0.9,0,14,17.3,2,329,3616,880,312,0,0,0,0,0,30,450271,93820,4.694466489
Maricopa County,Arizona,1665560,2.62,89.2,35,7.2,84.8,14.5,26.4,26.1,80675,41533,11.5,1821463,1.1,3.8,4.6,4.8,11,64.3,371400,4430871,50.2,5.9,23.1,15.6,66.7,5.7,1.9,4.3,0.2,13.6,17.6,3.7,104022,1800495,375492,41381.5,671,348,3239,85.5,2958,8790,74333135,13229406,487.509549
Mohave County,Arizona,95169,2.21,87.8,14.4,13.4,84.7,6.5,10.4,21.1,53592,32835,16,118073,1.5,2.7,1.8,1.7,2.5,72.6,233700,214229,49.3,4.1,16.5,31.3,83.2,1.1,1.9,1.1,0.2,8,9.8,2.6,4108,44438,13182,0,0,0,0,0,0,627,3063397,397400,15.91533296
Navajo County,Arizona,37565,2.77,85.6,17.3,8.1,87.8,2.3,34.4,23.1,50335,22826,25.5,56556,1.7,2.1,1.2,0.5,0.9,72.3,165600,107110,49.6,6.3,25.9,19,46.1,1.1,43.1,0.4,0.1,6,5.5,2.4,1791,19805,6140,1539,0,45,0,0,158,294,1197234,294898,11.14808127
Pima County,Arizona,423075,2.39,89.5,35,9.7,82.8,12.2,27,24.5,64323,36494,14.9,471058,1.8,3.3,3.7,4.9,9.2,64.1,258300,1042393,50.5,5.1,20.2,20.4,65.9,3.5,3.4,2.9,0.2,14.2,19.8,3.2,20694,312775,74770,15339,0,0,920,0,1649,2761,12230888,2877547,113.9747868
Pinal County,Arizona,151490,2.72,88.5,21.4,10.5,85,9.2,20,32,73313,33158,11.3,175474,0.7,1.4,1,0.8,1.4,79.6,268900,433338,47.8,5.4,22,20.8,69.1,4.6,4.8,1.6,0.4,11.8,15.5,2.9,4232,55073,26457,41381.5,671,348,3239,85.5,2958,8790,2578068,328949,86.24393453
Santa Cruz County,Arizona,16651,2.86,78,23.5,4.9,88.5,33.4,78.7,23.3,51885,25619,20.2,18811,3.6,4.3,3.7,0.8,1.2,67.2,196700,47838,51.5,6.5,26.3,18.5,51.7,0.3,0.6,0.1,0.2,36.2,45.8,1.8,1089,10948,4417,1060,0,0,52,0,378,104,513171,76399,37.61259939
Yavapai County,Arizona,106542,2.19,92.1,28.7,12.8,86.2,6.8,10.7,23.7,62430,37666,12.3,121829,2.3,3.2,2.3,0.9,3.1,73.1,354300,237830,50.7,3.8,15.8,32.7,84.5,0.6,1.4,1,0.1,8,9.3,2.1,6292,61579,22130,5187,0,0,0,0,0,0,2952664,563943,28.9420351
Yuma County,Arizona,74678,2.65,76.2,16.4,9.5,84.5,24.7,54,20.8,56439,27516,17.5,92808,1,3.5,2.6,1.6,2.6,69.1,173500,204374,48.5,6.9,25.1,19.7,58.1,1.9,1.3,1.1,0,25.8,35.3,2.3,3244,48198,11107,2649,5,0,0,0,556,742,2219141,371632,38.77280214
Arkansas County,Arkansas,6559,2.56,86,15.8,5.8,86.2,1.4,2,19.7,58695,28759,16.8,8717,2.7,4.4,3.2,1.1,1.5,66.2,125900,17024,51.5,6.2,22.9,19.9,71.1,25.7,0.3,0,0,2.1,1.2,0.4,494,8808,1444,457,0,0,0,0,0,26,302359,20526,17.68383354
Ashley County,Arkansas,7194,2.62,85.9,11.6,5.7,92.7,2.3,4.7,20.6,44804,25568,23.3,9432,3.4,1,1.8,0.3,1.9,74.3,86600,19018,52.8,6,22.6,21.1,70.8,24.8,0.2,0.1,0.3,2.8,3.2,0.7,344,4543,1132,296,0,0,0,0,0,0,183023,18896,21.24256434
Baxter County,Arkansas,19021,2.18,89.6,18.2,13.7,85.3,2.2,3.1,17.4,47403,30264,13.5,22747,2,2.4,1.5,1,2.1,74.3,155600,41801,51.1,4.2,17.6,31.1,93.5,0.2,0.6,0.6,0,4.8,3.1,0.5,1088,13872,3500,973,0,0,0,0,0,189,571072,73550,75.65521688
Benton County,Arkansas,104164,2.72,90.1,35.5,6.9,86.7,12,14.4,20.8,85269,43359,7.9,114425,2,2.9,2.9,5.6,2.4,67.8,254000,286528,49.7,6.7,25.7,13.6,71.9,1.9,1.1,4.2,0.7,16.6,16.6,5.3,7298,126598,24375,2666.5,15.5,38.25,0,0,0,437.75,3717446,610252,329.2140787
Boone County,Arkansas,15172,2.45,90.6,16.6,8.1,86.2,1.2,2.4,19.1,52275,28886,13.2,17354,2.1,2.9,3.4,1.6,1.1,70.1,158100,37662,50.5,5.6,22.7,20.8,94.9,0.3,0.3,0.4,0,3.5,1.5,1,857,12129,3091,725,0,0,0,0,0,87,622351,58058,63.44458288
Bradley County,Arkansas,3587,2.86,85.8,12.5,6.9,88.5,7.1,14.4,22.4,43688,23830,15.2,5112,3.8,8.1,1.9,0.1,0.9,64.9,87900,10461,51.6,6.2,24.5,18.5,60.9,26,4.7,0.1,0,5.4,5.7,0.1,246,2295,566,252,0,0,0,0,0,0,71407,9064,16.57795931
Calhoun County,Arkansas,1498,3.07,85.3,12.5,5.2,93.4,1.7,4.5,21.8,60237,24047,12.5,2476,0.2,0.7,0.1,0.2,0.2,86.4,82700,4773,49.3,3.9,18.7,21.4,74.2,20.8,0.4,0.2,0,4.4,2.5,0.1,56,370,196,24,0,0,0,0,0,0,12584,1156,8.25531362
Carroll County,Arkansas,11357,2.47,85.8,21.4,10.5,93.8,8.9,12.9,21.1,56826,29123,15.4,13858,2.1,4,1.8,0.5,1.6,76.4,169700,28362,49.6,5.2,22,23.1,79.7,0.4,0.9,1.2,1.2,14.5,12.7,5.1,709,8470,2684,776,0,0,0,0,0,0,250069,69869,45.04399729
Chicot County,Arkansas,4008,2.37,79.6,17.6,4,89.6,2.7,6.2,20.5,36593,24156,27.4,5131,2,1.9,0.9,0.7,3.6,67.9,88100,10234,49.7,5.6,21.9,21.3,42.4,53.6,0,0.3,0,3.1,2.3,0,191,2001,611,0,0,0,0,0,0,0,58335,6930,15.69346533
Clark County,Arkansas,7955,2.38,89.7,26.4,5.4,82.6,2.2,4.2,21.3,48071,24532,20,10039,2.3,4.2,6.5,4.4,2.7,62.4,143300,21469,52.9,5,19.4,16.2,69.2,24,0.1,0.7,0,3.3,3.6,1,531,6394,1409,482,0,0,0,0,0,0,376931,55875,25.77136629
Clay County,Arkansas,6063,2.38,84.3,15.4,8.8,86.4,0.7,0.7,23,44685,26554,19.4,7514,2.3,1.4,1.5,0.5,0.2,73.5,85800,14537,52.1,5.2,20.9,22.1,94.4,0.7,0.3,0,0,4.1,1.1,0.6,281,2296,871,286,0,0,0,0,0,0,127738,8596,22.75485209
Cleburne County,Arkansas,10626,2.32,87.9,17.2,11.6,85.7,0.8,1.8,28.1,52780,31041,14.1,15619,1.2,1.3,0.2,0.2,0,78.7,162200,24948,50,4.3,18.9,27.4,94.6,0.4,0.8,0.2,0,3.6,2.1,0.3,596,5439,2289,503,0,0,0,0,0,101,412542,35689,45.00446495
Cleveland County,Arkansas,2742,2.73,91.9,15.9,6.6,95.5,0.2,0.8,31.8,48913,26479,13.6,3604,0.6,1.1,0.1,0,0.1,83.6,109200,7548,53.7,4,20.6,20.8,84,13.1,0,0,0,2.8,0,0,74,639,422,0,10.66666667,0,23.33333333,0,30,33,16199,0,13.30927272
Columbia County,Arkansas,7826,2.65,88.3,19,5.8,88.5,1.5,3.6,20.7,47441,27243,22.5,11051,1.5,3.7,3.3,1.3,2,72.3,123200,22707,51.6,6.1,21,17.2,61.1,35.6,0.5,0.5,0,1.8,0.9,0.3,533,6797,1416,439,0,0,0,0,0,50,199080,43760,30.62337635
Conway County,Arkansas,8422,2.45,89.2,19.1,9.6,86.6,2.7,4.3,28.4,50282,28694,20.9,9659,3.3,0.7,2.8,0.2,1.5,68.2,129600,20782,50.2,5.5,22.5,19.5,83.5,11,0.4,0.4,0,3.4,1.9,0.4,406,4737,1543,426,0,0,0,0,0,69,241675,29895,37.74562165
Craighead County,Arkansas,42351,2.54,90.2,28.2,6.2,79.5,3.6,6.1,19.2,55169,31298,19.1,47084,3.9,7.9,5.2,4.3,3.6,59.7,182600,111038,51.2,6.7,24.9,13.6,75.2,16.2,0.3,1.2,0,4.4,4.8,0.6,2651,44707,9417,1241.5,0,0,0,0,0,0,1828893,251524,155.9896558
Crawford County,Arkansas,22731,2.63,85.5,20.3,9.5,86.8,4.7,7.6,23.3,56702,28920,17.8,25453,5.4,2.7,1.4,1.7,1.3,75.5,154900,60593,50.6,6.1,24,17.2,85.5,1.3,1,1.3,0,8.6,6,4,1056,15445,4211,1037,2.5,0,0,0,0,169.75,500708,73058,106.5350331
Crittenden County,Arkansas,18587,2.54,85.6,17.6,6.2,84.1,1.8,2.2,21.6,51860,27834,19.7,21335,2.3,3.6,10,3.6,2.5,56.2,147300,47945,52.6,7.4,27.1,14.6,41.6,50.1,0.1,0.8,0,7.2,1.4,1,834,13350,4222,2000.777778,134.3333333,0,207.1111111,0,40,360.6666667,665249,90150,78.56551116
Cross County,Arkansas,6564,2.53,83.5,16.1,7.4,84.8,1.8,2.2,24.2,48129,27776,20.2,7618,4.4,2.7,1.1,0.3,1.2,66.2,97500,16827,51.5,6.3,24,18.5,72.9,19.5,0.3,0,0,7.1,1.4,0,365,3460,1384,324,0,0,0,0,0,0,213465,0,26.63770484
Dallas County,Arkansas,2289,2.65,88.4,13,7.5,92.5,0.3,0.9,19.3,40085,26378,11.9,3511,1.7,4.6,2,0.5,3.2,71.6,94300,6472,50.8,5,20.3,24.5,52.6,44.1,0,0.1,0.6,2.3,0.7,0.7,171,2202,336,163,0,0,0,0,0,0,77262,0,10.50216345
Desha County,Arkansas,4603,2.43,79,13.1,5.6,89.5,3.3,6.6,17.8,38067,21588,27.2,5828,4,3.4,4,1.4,1.5,62.5,88300,11285,51.7,6.4,25.3,19.2,47.5,47.6,0.1,0.2,0,2.9,2.9,0,284,3211,761,0,0,0,0,0,0,0,123715,14647,14.79036007
Drew County,Arkansas,6913,2.38,87.4,25,7,87.6,2.2,4.3,19.7,44968,27349,21.4,8289,3.7,4.3,3,1.8,3.2,67.1,123900,17309,51.5,5.8,23,17.8,67.3,26.9,0,0.7,0,4,2.8,1.9,412,5267,1192,334,0,0,0,0,0,33,254234,29723,21.99358356
Faulkner County,Arkansas,47396,2.52,93,32.5,5.9,88.4,3.5,4.6,25.9,61273,31301,15.5,52070,4.4,2.4,3.9,7.6,3.4,62.3,195800,124611,51.2,5.8,22.6,13.3,81,11.4,0.3,1,0,4.2,2.8,1.4,2855,35683,9978,2224.833333,80.33333333,0,143.6666667,0,0,400.6666667,1880103,234271,194.4682852
Franklin County,Arkansas,6705,2.5,86.2,12.3,10.6,84.9,1.3,2.5,25.5,47695,25517,20.2,7750,3.7,3.5,2.4,0.4,0.7,73.7,117500,17160,50.9,5.2,22.6,19.9,89.6,0.6,0.5,0.8,0.1,7.5,5.1,0.5,298,3888,1043,173,0,0,0,0,0,0,203372,13470,29.09591843
Fulton County,Arkansas,4780,2.51,86.9,14.4,8.8,89.6,0.6,0.4,29.4,38917,22895,15.3,6247,1.2,0.5,0.2,0,0.6,84.5,100000,12183,50,5.1,21.1,25.5,93,0.2,0.4,0,0,6.3,1.1,0.4,165,1443,842,142,0,0,0,0,0,0,55397,9547,20.18317657
Garland County,Arkansas,43220,2.27,90.6,25.2,10.3,86.8,3.9,6.9,21.5,54229,31854,16.9,52383,3,4,4.2,2.8,4.2,68.3,166600,100021,51.7,5.2,19.8,24,84.4,7.9,0.5,0.7,0.1,4.8,3,1.5,2858,34001,8370,2312,0,0,0,0,0,0,1684321,291207,146.6693961
Grant County,Arkansas,6856,2.6,92.6,18.8,8.6,88.2,1.7,2.5,29.9,68598,35170,13.5,7874,1.3,0.4,0.2,0.9,2.6,80.3,141400,18022,49.6,5.2,21.7,18.2,92.4,2.6,0.1,0.4,0.1,3.4,2.5,0.3,291,3590,1192,2224.833333,80.33333333,0,143.6666667,0,0,400.6666667,131576,0,28.90893664
Greene County,Arkansas,17741,2.55,87.9,16.6,8.7,81.2,0.9,2,22.8,54879,26941,17.6,19235,4.4,5.7,1.1,1.9,2,64.4,157400,45954,50.5,6.2,24.1,16.2,91.5,2.5,0.2,0.4,0.1,4.2,3.5,0.8,794,12798,3318,686,0,0,0,0,0,111,579525,59838,78.45926416
Hempstead County,Arkansas,7355,2.67,83.9,15.8,6,89.6,6.5,11.5,23.3,45049,25577,23,9663,2.8,2.7,1.9,1.1,0.5,67.7,104700,20037,51.4,5.6,25.2,18.3,56.8,31,0.8,0.2,0,3.1,10,0.8,375,5748,1057,370,0,0,0,0,0,39,217190,27688,29.59639032
Hot Spring County,Arkansas,11900,2.59,88.5,15.5,7.7,89,1.1,4.1,28,50260,25486,19.7,14247,1.5,1,1.4,1.1,0.1,78.7,119600,33129,46.8,4.6,19.6,19.2,83.9,11.5,0.4,0.3,0,3.7,1.7,0.5,504,5985,2066,436,0,0,0,0,0,85,248215,27659,54.88628496
Howard County,Arkansas,5224,2.41,88.4,15,5.8,92.4,9.2,15.4,19.5,44824,25458,18.3,6168,2.4,1.7,1.4,0.8,0,72.6,125300,12779,52.3,6.7,25.9,18.1,64.4,21.7,0.2,0.8,0.2,2.5,11.9,1.1,264,5653,810,285,0,0,0,0,0,0,157040,20751,22.43076756
Independence County,Arkansas,14417,2.56,86.8,17.1,7.6,90,3.4,5.2,19.5,52361,27867,19.3,16689,1.9,2.9,1,0.8,1.7,69.4,111300,37910,50,6.3,23.8,17.4,86.7,1.9,0.3,0.7,0.3,6.2,6.5,2.8,797,14809,2552,760,0,0,0,0,0,121,491502,52280,49.50755722
Izard County,Arkansas,4850,2.6,83.2,18.9,10.5,84.7,1.2,2.1,22.6,46159,25331,19.7,6764,0.9,2,0.5,0.1,0.8,77.3,110600,13748,46.9,4,17.3,25.4,88.7,1.8,0.9,0,0,7.6,6.8,0.8,212,1905,997,188,0,0,0,0,0,21,110349,4916,23.47417993
Jackson County,Arkansas,6116,2.37,86.3,11.9,5.9,79.7,0.7,1.8,20.7,41929,23048,20.4,7118,3.3,3.6,2.6,0.1,0.8,66.6,85700,16784,49.8,5.1,19.5,17.8,76.1,12.2,0.1,0.4,0,10.8,2.3,0.8,307,3673,781,344,0,0,0,0,0,34,229697,16147,26.37745585
Jefferson County,Arkansas,24278,2.51,89.1,20.2,7,86.9,1.8,3.7,20.4,46855,24571,19.5,30767,2.7,2.4,3.2,2.8,4.1,63.3,105300,66934,49.9,5.9,21.5,17.7,38.6,56,0.1,0.8,0.4,2.7,2,0,1229,19464,3959,0,10.66666667,0,23.33333333,0,30,33,776810,0,76.80457988
Johnson County,Arkansas,9899,2.54,80.5,15,8.4,88.2,9.3,12.5,18.6,42470,22457,21.2,11503,2.6,6.1,2.1,0.9,0.9,70.4,119800,25925,50,6.6,24.7,16.7,85,1.6,0.5,3,0.2,7.8,6.5,0.8,381,6963,1472,340,0,0,0,0,0,0,265902,27040,40.27938975
Lafayette County,Arkansas,2547,2.42,81.1,10.6,8.9,90.8,3.2,4.5,27.9,40262,23699,21.6,3948,0.4,1.2,1.4,0.2,0.5,77,70900,6277,48.7,3.7,19,24.2,59.6,33.4,0.3,1,0,4.2,3.8,0.1,104,700,362,0,0,0,0,0,0,0,26925,3964,12.53844494
Lawrence County,Arkansas,6359,2.47,82.3,12.9,6.6,85.1,1.2,1.9,25.9,43606,25301,17.8,7556,3.2,3.8,0.8,0.4,1.6,67.2,84300,16258,50,5.9,22.5,18.8,93.5,1.4,0.2,0.1,0.1,4.5,2.8,0.3,279,3246,1220,280,0,0,0,0,0,0,206445,14580,27.91967921
Lee County,Arkansas,2586,2.77,83.5,7.7,3.5,85.9,1.5,2.5,22,33801,20338,27.6,3736,6.8,4.5,3.7,0.1,1.3,61.9,80600,8666,43.7,5.6,18.6,19.7,42.3,55.3,0.1,0.2,0,1.6,1.4,0.2,112,875,684,111,0,0,0,0,0,0,40124,2668,14.69745763
Lincoln County,Arkansas,3378,2.48,83.5,8.1,5.2,91.6,2.3,4.5,23.4,50526,18191,17.7,4400,0.6,0.5,0.3,0.5,0.6,78.6,112500,13016,36,4.2,14.7,15,63.4,29.8,0.5,0,0,2.5,4.4,0.6,153,1389,549,0,10.66666667,0,23.33333333,0,30,33,66766,0,23.19333441
Little River County,Arkansas,4734,2.5,90.6,15.9,7.3,85.6,0.7,1.4,29.8,58627,28764,11.8,6077,2.6,1.2,0.8,0,0,83.9,108200,12024,51.4,5.6,22.1,21.1,72.3,18.6,1,0.2,0,6.4,4,0.1,168,2459,632,709.3333333,0,0,0,0,0,0,129535,0,23.03257212
Logan County,Arkansas,8405,2.46,88.2,14.3,8.4,84.8,1.5,3.9,24.6,51131,28495,14.5,9779,2.5,3.3,0.5,0.6,0.9,74.1,121600,21247,50.6,5.9,21.1,20,89.7,1.6,0.4,1.8,0,5.7,4,0.5,360,3747,1303,311,0,0,0,0,0,24,164777,13610,30.30756948
Lonoke County,Arkansas,27582,2.67,89.9,19.9,11.4,86.4,2.7,4.3,29.2,68078,32720,11.8,30238,2.5,2.8,1.6,1.1,0.9,72.4,169600,74292,50.4,6.1,25,14,86.8,5.5,0.2,1,0.1,5,3,0.9,1109,11472,5330,2224.833333,80.33333333,0,143.6666667,0,0,400.6666667,557155,87411,95.03693678
Madison County,Arkansas,6250,2.66,85,12.3,7.5,91,1.9,2.6,32,51514,27709,16.5,7666,0.3,1.5,0.9,0.8,0.3,79.8,148300,16737,49.4,6.3,23.4,19.5,79.6,0,0.4,1,1,16.6,14.2,1.3,227,2612,1444,2666.5,15.5,38.25,0,0,0,437.75,95884,9971,19.86913138
Marion County,Arkansas,7140,2.35,87.7,15.2,12.8,88.9,2.2,2.7,26.2,42891,25315,17.8,9515,1.3,1,1.4,0.5,0.7,82.2,147100,16905,50.4,4.3,18.4,28.8,94.6,0.5,0.4,0.7,0.1,3.4,1.2,0.4,239,2686,1309,188,0,0,0,0,0,35,112755,9410,27.96517883
Miller County,Arkansas,15863,2.61,86.7,15.6,7.6,84.7,1.7,2.2,20.8,47613,26572,20.5,19790,3,3,5.9,3.7,2,66.3,137700,42682,50.2,6,23.6,16.6,68.5,25.2,0.9,0.3,0,2.5,3.4,0.7,719,11175,2924,709.3333333,0,0,0,0,0,0,378761,0,69.13026714
Mississippi County,Arkansas,15005,2.64,82.8,14.8,6.2,82.9,2,3.9,19.1,50012,27863,21.9,19194,13.2,4.4,2.7,3.1,0.2,60.2,110000,40361,50.9,6.9,26,15,58.3,34.8,0.1,0.4,0,4.9,3.8,0.6,752,14555,2742,767,0,0,0,0,0,95,419490,60887,45.13887825
Monroe County,Arkansas,2826,2.37,80.2,14.2,8.7,85,0.3,0.7,25.9,41786,24117,23.8,3864,7.4,2.5,3.6,1.1,2.2,63.6,84600,6787,51.7,6.7,21.6,23.5,53.9,43.5,0.1,0.3,0,2.2,0.1,0,183,1520,598,223,0,0,0,0,0,0,63011,11096,11.03711477
Montgomery County,Arkansas,3589,2.35,86.7,16.4,9,89.1,2.4,3.7,36.1,47103,26815,18.2,5473,1,2.9,0.2,0.1,0.7,80.4,126200,8555,48.8,4.6,18,27,90.9,0.7,1,0.8,0,3.8,3.4,0.3,133,904,821,0,0,0,0,0,0,26,28853,28919,11.5216877
Nevada County,Arkansas,3154,2.57,89.6,10.9,8.8,80.6,0.1,0.5,27.9,43421,22041,27.8,4323,2.4,1.8,0,2,0.4,66.7,85100,8292,51.1,5.6,22.5,21,64.2,33.7,0.1,0.2,0.1,1.7,0.1,0,120,1853,442,81,0,0,0,0,0,0,101750,4127,13.35614266
Newton County,Arkansas,2905,2.47,84.9,14.8,12,91.6,0.9,1.1,33.1,50699,26544,11.4,4124,1.3,1.6,1.6,0.7,0.9,74.8,160500,7243,48.6,4.4,19.4,26.7,93,0.1,1.2,0,0.2,4.6,2.5,0.4,87,671,706,68,0,0,0,0,0,0,20613,7559,9.444461415
Ouachita County,Arkansas,8459,2.63,88.2,15,9.5,91.2,0.4,1.5,23.3,47348,25289,19.1,11925,2.5,5,1.6,0.5,0.3,73.8,96000,22606,51.2,5.5,22.4,20.6,55.8,41,0.1,0,0,2.8,1.4,0.4,479,7843,1181,388,0,0,0,0,0,0,242238,23223,31.90849889
